Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,24,119,2005,5,25
Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,49,61,1992,5,25
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,20110425,20110428,12,321,2011,4,25
Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,35,112,2008,5,25
U.S. Drought/Heatwave (2012),Drought,20120101,20121231,33,123,2012,1,25
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,50,97,2017,5,25
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,91,65,2017,5,30
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,126,89,2017,5,40
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,72,159,2012,5,55
U.S. Drought/Heatwave (Summer 1988),Drought,19880601,19880831,43,454,1988,1,75
Central/Eastern Drought/Heatwave (Summer-Fall 1980),Drought,19800601,19801130,32,1260,1980,1,95
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,164,1833,2005,5,140
